127.0.0.1 - - [05/Nov/2024:16:29:30 +0900] "GET / HTTP/1.1" 200 180
0:0:0:0:0:0:0:1 - - [05/Nov/2024:16:29:47 +0900] "GET /member/list HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [05/Nov/2024:16:29:56 +0900] "GET /list HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [05/Nov/2024:16:30:21 +0900] "GET /board HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [05/Nov/2024:16:30:27 +0900] "GET /board/list HTTP/1.1" 200 3613
0:0:0:0:0:0:0:1 - - [05/Nov/2024:16:30:27 +0900] "GET /resources/css/bootstrap.min.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [05/Nov/2024:16:30:27 +0900] "GET /resources/js/jquery-3.5.1.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [05/Nov/2024:16:30:27 +0900] "GET /resources/js/bootstrap.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [05/Nov/2024:16:30:33 +0900] "GET /board/list HTTP/1.1" 200 3613
0:0:0:0:0:0:0:1 - - [05/Nov/2024:16:30:33 +0900] "GET /resources/css/bootstrap.min.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [05/Nov/2024:16:30:33 +0900] "GET /resources/js/jquery-3.5.1.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [05/Nov/2024:16:30:33 +0900] "GET /resources/js/bootstrap.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [05/Nov/2024:16:30:34 +0900] "GET /board/register HTTP/1.1" 200 2208
0:0:0:0:0:0:0:1 - - [05/Nov/2024:16:30:34 +0900] "GET /resources/css/bootstrap.min.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [05/Nov/2024:16:30:34 +0900] "GET /resources/js/bootstrap.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [05/Nov/2024:16:30:34 +0900] "GET /resources/js/jquery-3.5.1.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [05/Nov/2024:16:30:41 +0900] "GET /board/get?bno=1 HTTP/1.1" 200 2344
0:0:0:0:0:0:0:1 - - [05/Nov/2024:16:30:41 +0900] "GET /resources/css/bootstrap.min.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [05/Nov/2024:16:30:41 +0900] "GET /resources/js/jquery-3.5.1.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [05/Nov/2024:16:30:41 +0900] "GET /resources/js/bootstrap.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [05/Nov/2024:16:30:45 +0900] "GET /board/get?bno=7 HTTP/1.1" 200 2325
0:0:0:0:0:0:0:1 - - [05/Nov/2024:16:30:45 +0900] "GET /resources/css/bootstrap.min.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [05/Nov/2024:16:30:45 +0900] "GET /resources/js/jquery-3.5.1.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [05/Nov/2024:16:30:45 +0900] "GET /resources/js/bootstrap.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [05/Nov/2024:16:30:58 +0900] "GET /board/modify?bno=7 HTTP/1.1" 200 2956
0:0:0:0:0:0:0:1 - - [05/Nov/2024:16:30:58 +0900] "GET /resources/css/bootstrap.min.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [05/Nov/2024:16:30:58 +0900] "GET /resources/js/bootstrap.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [05/Nov/2024:16:30:58 +0900] "GET /resources/js/jquery-3.5.1.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [05/Nov/2024:16:31:03 +0900] "POST /board/modify HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Nov/2024:16:31:03 +0900] "GET /board/list HTTP/1.1" 200 3613
0:0:0:0:0:0:0:1 - - [05/Nov/2024:16:31:03 +0900] "GET /resources/css/bootstrap.min.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [05/Nov/2024:16:31:03 +0900] "GET /resources/js/jquery-3.5.1.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [05/Nov/2024:16:31:03 +0900] "GET /resources/js/bootstrap.min.js HTTP/1.1" 404 721
